Habitat,Latitude,Longitude,Water_cont,Silt/clay content,NDVI,Inundation proportion,AL,TA,XF,PA,PI,HF,MB
Mangroves,25.150388,121.45705,0.680472907,0.262969791,0.82245433,0.016714433,0,0,0,1,1,0,0
Mangroves,24.195156,120.507047,0.497526909,0.502324312,0.6174268,0.098298115,0,1,0,1,0,0,0
Mangroves,24.396962,120.595306,0.627862875,0.227324015,0.640853,0.098298115,1,1,0,0,1,1,0
Mangroves,23.36065,120.13003,0.348229374,0.033176932,0.39981532,0.559032577,1,0,0,0,0,0,0
Mangroves,24.195338,120.507982,0.138001379,0.443319317,0.27306968,0.098298115,1,1,0,1,1,0,0
Mangroves,24.195387,120.508028,0.309524722,0.38047853,0.27306968,0.098298115,1,1,0,1,0,1,0
Poaceae,24.31673,120.550133,0.470639068,0.381647259,0.22280887,0.023464007,1,1,1,1,1,0,1
Mangroves,23.93426,120.316288,0.587770444,0.408137761,0.8341075,0.098298115,0,1,0,1,1,0,0
Poaceae,24.319341,120.550441,0.27515105,0.492736979,0.2662474,0.023464007,1,1,0,1,0,0,0
Bare mudflat,23.36028,120.13006,0.271132794,0.007277452,0.23055683,0.00119694,0,0,0,0,0,0,0
Mangroves,23.932834,120.314947,0.400529253,0.528716057,0.83497053,0.098298115,0,1,0,1,1,0,0
Mangroves,23.929728,120.313337,0.499759203,0.473295821,0.8303249,0.104428087,0,0,0,1,1,0,0
Mangroves,23.93119,120.314026,0.628591755,0.382633839,0.51195496,0.168372473,0,1,0,0,1,0,0
Mangroves,23.325758,120.139264,0.080946033,0.632528142,0.4560419,0.098298115,0,1,0,1,0,0,0
Bare mudflat,23.325613,120.139171,0.295801349,0.464141334,0.29224905,0.00478051,0,1,0,1,1,0,1
Mangroves,23.36098,120.1302,0.257877082,0.127296752,0.24287222,0.559032577,1,1,0,0,1,0,0
Bare mudflat,23.36108,120.13036,0.353620524,0.02357522,0.21691974,0.153541461,1,0,0,0,0,0,0
Poaceae,24.37038,120.581606,0.256180165,0.296370744,0.15778251,0.065048544,1,1,0,1,1,0,0
Mangroves,24.370299,120.581634,0.235806899,0.084020859,0.20041753,0.081728565,1,0,0,1,1,0,0
